region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2018,40,760,29,11,7,1,7,9,0,2018-09-30
National,National,2018,41,828,51,10,7,5,3,3,0,2018-10-07
National,National,2018,42,986,48,18,11,4,1,11,0,2018-10-14
National,National,2018,43,883,62,26,2,3,0,12,0,2018-10-21
National,National,2018,44,948,68,16,2,1,1,5,0,2018-10-28
National,National,2018,45,1137,106,20,14,4,4,5,0,2018-11-04
National,National,2018,46,1018,124,23,9,0,2,2,0,2018-11-11
National,National,2018,47,762,158,35,8,1,2,4,0,2018-11-18
National,National,2018,48,969,206,36,10,2,1,7,0,2018-11-25
National,National,2018,49,772,148,35,13,5,2,4,0,2018-12-02
