region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
HHS Regions,Region 1,2018,40,24,0,0,0,0,0,0,0,2018-09-30
HHS Regions,Region 2,2018,40,20,0,0,0,0,0,0,0,2018-09-30
HHS Regions,Region 3,2018,40,138,2,0,0,0,2,0,0,2018-09-30
HHS Regions,Region 4,2018,40,24,0,0,0,0,0,0,0,2018-09-30
HHS Regions,Region 5,2018,40,172,2,2,0,0,0,0,0,2018-09-30
HHS Regions,Region 6,2018,40,90,4,0,0,0,0,0,0,2018-09-30
HHS Regions,Region 7,2018,40,64,2,0,0,0,0,2,0,2018-09-30
HHS Regions,Region 8,2018,40,62,6,4,2,0,0,6,0,2018-09-30
HHS Regions,Region 9,2018,40,68,2,0,12,0,0,0,0,2018-09-30
HHS Regions,Region 10,2018,40,0,0,0,0,0,0,0,0,2018-09-30
