region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2018,40,771,29,11,7,0,7,11,0,2018-09-30
National,National,2018,41,882,52,10,7,5,3,5,0,2018-10-07
National,National,2018,42,1064,51,20,12,1,2,14,0,2018-10-14
National,National,2018,43,1066,74,35,3,3,0,13,0,2018-10-21
National,National,2018,44,1198,82,23,2,1,1,8,0,2018-10-28
National,National,2018,45,1280,117,27,14,4,4,7,0,2018-11-04
National,National,2018,46,1362,145,40,9,0,2,3,0,2018-11-11
National,National,2018,47,1071,205,53,12,1,2,5,0,2018-11-18
National,National,2018,48,1642,309,63,13,1,2,10,0,2018-11-25
National,National,2018,49,1610,335,86,18,6,3,8,0,2018-12-02
National,National,2018,50,2013,618,160,23,3,7,6,0,2018-12-09
National,National,2018,51,2235,908,184,91,10,20,4,0,2018-12-16
National,National,2018,52,1961,905,200,100,10,19,6,0,2018-12-23
National,National,2019,1,1742,779,187,36,2,3,6,0,2018-12-30
National,National,2019,2,1399,605,74,64,5,0,4,0,2019-01-06
