region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2018,40,793,29,11,7,0,7,11,0,2018-09-30
National,National,2018,41,897,52,10,7,5,3,5,0,2018-10-07
National,National,2018,42,1080,51,20,12,1,2,14,0,2018-10-14
National,National,2018,43,1085,74,35,3,3,0,13,0,2018-10-21
National,National,2018,44,1211,82,23,2,1,1,8,0,2018-10-28
National,National,2018,45,1297,117,27,14,4,4,7,0,2018-11-04
National,National,2018,46,1385,147,40,9,0,2,3,0,2018-11-11
National,National,2018,47,1092,209,53,9,1,2,5,0,2018-11-18
National,National,2018,48,1670,316,63,9,1,2,10,0,2018-11-25
National,National,2018,49,1629,342,88,14,7,3,7,0,2018-12-02
National,National,2018,50,2059,639,160,13,3,7,6,0,2018-12-09
National,National,2018,51,2377,1000,193,76,9,20,6,0,2018-12-16
National,National,2018,52,2141,997,220,98,10,18,6,0,2018-12-23
National,National,2019,1,2287,998,231,24,4,4,10,0,2018-12-30
National,National,2019,2,2701,1181,185,42,9,1,8,0,2019-01-06
National,National,2019,3,2279,995,241,38,9,11,13,0,2019-01-13
National,National,2019,4,1238,543,179,42,3,4,3,0,2019-01-20
