region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 1,2018,40,1446,2,2,0.276625,0.138313,0.138313,2018-09-30
HHS Regions,Region 2,2018,40,2908,10,4,0.481431,0.343879,0.137552,2018-09-30
HHS Regions,Region 3,2018,40,1286,4,2,0.466563,0.311042,0.155521,2018-09-30
HHS Regions,Region 4,2018,40,4700,32,20,1.10638,0.680851,0.425532,2018-09-30
HHS Regions,Region 5,2018,40,5098,12,10,0.431542,0.235386,0.196155,2018-09-30
HHS Regions,Region 6,2018,40,3148,20,22,1.33418,0.635324,0.698856,2018-09-30
HHS Regions,Region 7,2018,40,1768,6,0,0.339367,0.339367,0,2018-09-30
HHS Regions,Region 8,2018,40,1964,48,2,2.54582,2.44399,0.101833,2018-09-30
HHS Regions,Region 9,2018,40,742,4,0,0.539084,0.539084,0,2018-09-30
HHS Regions,Region 10,2018,40,1612,12,2,0.868486,0.744417,0.124069,2018-09-30
