region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 1,2018,40,887,2,1,0.338219,0.225479,0.11274,2018-09-30
HHS Regions,Region 2,2018,40,1454,5,2,0.481431,0.343879,0.137552,2018-09-30
HHS Regions,Region 3,2018,40,958,2,1,0.313152,0.208768,0.104384,2018-09-30
HHS Regions,Region 4,2018,40,3758,163,42,5.45503,4.33741,1.11762,2018-09-30
HHS Regions,Region 5,2018,40,3206,7,6,0.40549,0.218341,0.187149,2018-09-30
HHS Regions,Region 6,2018,40,1804,13,11,1.33038,0.720621,0.609756,2018-09-30
HHS Regions,Region 7,2018,40,938,3,0,0.319829,0.319829,0,2018-09-30
HHS Regions,Region 8,2018,40,997,24,1,2.50752,2.40722,0.100301,2018-09-30
HHS Regions,Region 9,2018,40,469,3,0,0.639659,0.639659,0,2018-09-30
HHS Regions,Region 10,2018,40,869,7,1,0.920598,0.805524,0.115075,2018-09-30
HHS Regions,Region 1,2018,41,786,2,2,0.508906,0.254453,0.254453,2018-10-07
HHS Regions,Region 2,2018,41,877,4,1,0.570125,0.4561,0.114025,2018-10-07
HHS Regions,Region 3,2018,41,497,2,2,0.804829,0.402414,0.402414,2018-10-07
HHS Regions,Region 4,2018,41,2298,19,12,1.349,0.826806,0.522193,2018-10-07
HHS Regions,Region 5,2018,41,2866,12,5,0.593161,0.418702,0.174459,2018-10-07
HHS Regions,Region 6,2018,41,1481,6,2,0.540176,0.405132,0.135044,2018-10-07
HHS Regions,Region 7,2018,41,913,0,0,0,0,0,2018-10-07
HHS Regions,Region 8,2018,41,587,4,0,0.681431,0.681431,0,2018-10-07
HHS Regions,Region 9,2018,41,223,4,0,1.79372,1.79372,0,2018-10-07
HHS Regions,Region 10,2018,41,916,10,5,1.63755,1.0917,0.545852,2018-10-07
