region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2019,40,965,25,57,21,7,56,1,0,2019-09-29
National,National,2019,41,1079,33,64,22,7,70,2,0,2019-10-06
National,National,2019,42,1164,35,82,2,13,76,3,0,2019-10-13
National,National,2019,43,1359,53,78,3,20,96,5,0,2019-10-20
National,National,2019,44,1429,53,59,2,39,120,5,0,2019-10-27
National,National,2019,45,1922,121,73,7,77,231,10,0,2019-11-03
National,National,2019,46,1858,147,56,4,93,322,10,0,2019-11-10
National,National,2019,47,2426,251,78,7,197,392,9,0,2019-11-17
National,National,2019,48,2113,360,82,9,153,468,10,0,2019-11-24
National,National,2019,49,2985,504,83,3,225,614,12,0,2019-12-01
National,National,2019,50,3282,595,78,6,351,739,15,0,2019-12-08
National,National,2019,51,3621,821,49,20,326,962,12,0,2019-12-15
National,National,2019,52,3670,1061,76,26,345,1107,21,0,2019-12-22
National,National,2020,1,3117,937,80,46,241,791,10,0,2019-12-29
National,National,2020,2,1904,504,36,39,142,422,5,0,2020-01-05
