region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2019,40,967,25,57,21,7,56,1,0,2019-09-29
National,National,2019,41,1083,32,64,23,7,70,2,0,2019-10-06
National,National,2019,42,1166,35,82,2,13,76,3,0,2019-10-13
National,National,2019,43,1356,53,78,3,20,95,5,0,2019-10-20
National,National,2019,44,1428,53,59,2,39,119,5,0,2019-10-27
National,National,2019,45,1915,114,72,11,77,229,10,0,2019-11-03
National,National,2019,46,1854,143,55,7,93,320,10,0,2019-11-10
National,National,2019,47,2407,240,76,16,199,382,9,0,2019-11-17
National,National,2019,48,2073,340,78,17,155,449,10,0,2019-11-24
National,National,2019,49,2832,463,79,18,233,551,12,0,2019-12-01
National,National,2019,50,2812,474,68,22,333,591,14,0,2019-12-08
National,National,2019,51,1848,386,21,36,169,456,6,0,2019-12-15
