region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2019,40,965,25,57,21,7,56,1,0,2019-09-29
National,National,2019,41,1079,33,64,22,7,70,2,0,2019-10-06
National,National,2019,42,1164,35,82,2,13,76,3,0,2019-10-13
National,National,2019,43,1358,53,78,3,20,96,5,0,2019-10-20
National,National,2019,44,1428,53,59,2,39,119,5,0,2019-10-27
National,National,2019,45,1922,121,73,7,77,231,10,0,2019-11-03
National,National,2019,46,1858,147,56,4,93,322,10,0,2019-11-10
National,National,2019,47,2412,250,76,7,199,383,9,0,2019-11-17
National,National,2019,48,2087,355,80,9,153,455,10,0,2019-11-24
National,National,2019,49,2945,494,83,5,223,593,12,0,2019-12-01
National,National,2019,50,3163,548,77,15,354,697,15,0,2019-12-08
National,National,2019,51,3356,739,46,34,315,880,12,0,2019-12-15
National,National,2019,52,3096,863,64,38,298,920,19,0,2019-12-22
National,National,2020,1,1459,411,32,44,145,306,3,0,2019-12-29
