region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2019,40,968,25,57,21,7,56,1,0,2019-09-29
National,National,2019,41,1080,33,64,22,7,70,2,0,2019-10-06
National,National,2019,42,1165,35,82,2,13,76,3,0,2019-10-13
National,National,2019,43,1360,53,78,3,20,96,5,0,2019-10-20
National,National,2019,44,1433,52,61,3,39,120,5,0,2019-10-27
National,National,2019,45,1925,121,74,7,77,231,10,0,2019-11-03
National,National,2019,46,1865,148,58,5,93,322,10,0,2019-11-10
National,National,2019,47,2442,256,78,7,197,394,9,0,2019-11-17
National,National,2019,48,2134,364,82,10,154,479,10,0,2019-11-24
National,National,2019,49,3003,508,83,3,219,626,12,0,2019-12-01
National,National,2019,50,3320,603,78,6,347,749,15,0,2019-12-08
National,National,2019,51,3788,891,50,19,326,1011,13,0,2019-12-15
National,National,2019,52,4001,1170,85,20,348,1218,22,0,2019-12-22
National,National,2020,1,3899,1184,99,29,238,1115,15,0,2019-12-29
National,National,2020,2,3704,1112,78,23,256,839,13,0,2020-01-05
National,National,2020,3,3639,1121,44,102,269,780,8,0,2020-01-12
National,National,2020,4,1801,585,24,20,142,357,1,0,2020-01-19
