region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
HHS Regions,Region 1,2019,40,26,0,6,0,0,0,0,0,2019-09-29
HHS Regions,Region 2,2019,40,35,0,4,0,1,1,0,0,2019-09-29
HHS Regions,Region 3,2019,40,174,0,2,0,1,3,0,0,2019-09-29
HHS Regions,Region 4,2019,40,130,12,3,1,0,21,1,0,2019-09-29
HHS Regions,Region 5,2019,40,155,0,8,0,0,3,0,0,2019-09-29
HHS Regions,Region 6,2019,40,111,2,2,0,3,12,0,0,2019-09-29
HHS Regions,Region 7,2019,40,55,3,2,0,0,0,0,0,2019-09-29
HHS Regions,Region 8,2019,40,42,0,7,0,0,0,0,0,2019-09-29
HHS Regions,Region 9,2019,40,161,8,14,20,2,16,0,0,2019-09-29
HHS Regions,Region 10,2019,40,78,0,9,0,0,0,0,0,2019-09-29
HHS Regions,Region 1,2019,41,18,1,0,0,0,0,0,0,2019-10-06
HHS Regions,Region 2,2019,41,43,0,9,0,0,0,0,0,2019-10-06
HHS Regions,Region 3,2019,41,164,2,5,0,0,2,0,0,2019-10-06
HHS Regions,Region 4,2019,41,145,12,10,0,0,27,2,0,2019-10-06
HHS Regions,Region 5,2019,41,194,0,6,2,0,2,0,0,2019-10-06
HHS Regions,Region 6,2019,41,109,2,0,0,3,18,0,0,2019-10-06
HHS Regions,Region 7,2019,41,63,3,2,0,0,0,0,0,2019-10-06
HHS Regions,Region 8,2019,41,41,3,1,0,0,0,0,0,2019-10-06
HHS Regions,Region 9,2019,41,205,9,20,20,3,20,0,0,2019-10-06
HHS Regions,Region 10,2019,41,98,1,11,0,1,2,0,0,2019-10-06
HHS Regions,Region 1,2019,42,33,1,2,0,0,0,0,0,2019-10-13
HHS Regions,Region 2,2019,42,34,0,12,0,0,0,0,0,2019-10-13
HHS Regions,Region 3,2019,42,234,6,5,0,1,3,0,0,2019-10-13
HHS Regions,Region 4,2019,42,186,6,11,0,2,20,2,0,2019-10-13
HHS Regions,Region 5,2019,42,196,0,7,0,6,6,0,0,2019-10-13
HHS Regions,Region 6,2019,42,110,2,1,0,1,16,0,0,2019-10-13
HHS Regions,Region 7,2019,42,53,2,2,0,0,2,0,0,2019-10-13
HHS Regions,Region 8,2019,42,56,3,11,0,0,2,0,0,2019-10-13
HHS Regions,Region 9,2019,42,162,13,19,1,1,28,1,0,2019-10-13
HHS Regions,Region 10,2019,42,102,3,12,1,2,0,0,0,2019-10-13
