region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
HHS Regions,Region 1,2019,40,22,0,6,0,0,0,0,0,2019-09-29
HHS Regions,Region 2,2019,40,34,0,3,0,1,1,0,0,2019-09-29
HHS Regions,Region 3,2019,40,173,0,2,0,1,3,0,0,2019-09-29
HHS Regions,Region 4,2019,40,131,12,3,1,0,21,1,0,2019-09-29
HHS Regions,Region 5,2019,40,156,0,8,0,0,3,0,0,2019-09-29
HHS Regions,Region 6,2019,40,127,2,2,0,3,12,0,0,2019-09-29
HHS Regions,Region 7,2019,40,55,3,2,0,0,0,0,0,2019-09-29
HHS Regions,Region 8,2019,40,42,0,7,0,0,0,0,0,2019-09-29
HHS Regions,Region 9,2019,40,161,8,14,20,2,16,0,0,2019-09-29
HHS Regions,Region 10,2019,40,78,0,9,0,0,0,0,0,2019-09-29
HHS Regions,Region 1,2019,41,16,1,0,0,0,0,0,0,2019-10-06
HHS Regions,Region 2,2019,41,42,0,8,0,0,0,0,0,2019-10-06
HHS Regions,Region 3,2019,41,164,2,5,0,0,2,0,0,2019-10-06
HHS Regions,Region 4,2019,41,144,11,10,1,0,26,2,0,2019-10-06
HHS Regions,Region 5,2019,41,194,0,6,2,0,2,0,0,2019-10-06
HHS Regions,Region 6,2019,41,137,2,0,0,3,18,0,0,2019-10-06
HHS Regions,Region 7,2019,41,63,3,2,0,0,0,0,0,2019-10-06
HHS Regions,Region 8,2019,41,41,3,1,0,0,0,0,0,2019-10-06
HHS Regions,Region 9,2019,41,205,9,20,20,3,20,0,0,2019-10-06
HHS Regions,Region 10,2019,41,98,1,11,0,1,2,0,0,2019-10-06
HHS Regions,Region 1,2019,42,24,1,2,0,0,0,0,0,2019-10-13
HHS Regions,Region 2,2019,42,33,0,10,0,0,0,0,0,2019-10-13
HHS Regions,Region 3,2019,42,234,6,5,0,1,3,0,0,2019-10-13
HHS Regions,Region 4,2019,42,182,5,11,0,2,19,2,0,2019-10-13
