region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 1,2019,40,911,3,1,0.439078,0.329308,0.109769,2019-09-29
HHS Regions,Region 2,2019,40,1659,6,0,0.361664,0.361664,0,2019-09-29
HHS Regions,Region 3,2019,40,1062,5,4,0.847458,0.47081,0.376648,2019-09-29
HHS Regions,Region 4,2019,40,4446,77,291,8.2771,1.73189,6.54521,2019-09-29
HHS Regions,Region 5,2019,40,3535,9,4,0.367751,0.254597,0.113154,2019-09-29
HHS Regions,Region 6,2019,40,2654,23,46,2.59985,0.866616,1.73323,2019-09-29
HHS Regions,Region 7,2019,40,1036,2,1,0.289575,0.19305,0.0965251,2019-09-29
HHS Regions,Region 8,2019,40,1097,12,3,1.36737,1.09389,0.273473,2019-09-29
HHS Regions,Region 9,2019,40,2033,21,20,2.01672,1.03296,0.983768,2019-09-29
HHS Regions,Region 10,2019,40,1403,16,3,1.35424,1.14041,0.213828,2019-09-29
HHS Regions,Region 1,2019,41,1006,4,1,0.497018,0.397614,0.0994036,2019-10-06
HHS Regions,Region 2,2019,41,1834,6,5,0.599782,0.327154,0.272628,2019-10-06
HHS Regions,Region 3,2019,41,1118,1,5,0.536673,0.0894454,0.447227,2019-10-06
HHS Regions,Region 4,2019,41,4523,99,363,10.2145,2.18881,8.02565,2019-10-06
HHS Regions,Region 5,2019,41,3502,7,3,0.285551,0.199886,0.0856653,2019-10-06
HHS Regions,Region 6,2019,41,3171,16,71,2.74361,0.504573,2.23904,2019-10-06
HHS Regions,Region 7,2019,41,1243,7,0,0.563154,0.563154,0,2019-10-06
HHS Regions,Region 8,2019,41,1148,10,5,1.30662,0.87108,0.43554,2019-10-06
HHS Regions,Region 9,2019,41,2076,33,19,2.50482,1.5896,0.915222,2019-10-06
HHS Regions,Region 10,2019,41,1672,8,8,0.956938,0.478469,0.478469,2019-10-06
HHS Regions,Region 1,2019,42,951,4,0,0.42061,0.42061,0,2019-10-13
HHS Regions,Region 2,2019,42,1935,5,3,0.413437,0.258398,0.155039,2019-10-13
HHS Regions,Region 3,2019,42,677,3,1,0.590842,0.443131,0.14771,2019-10-13
HHS Regions,Region 4,2019,42,3144,52,144,6.2341,1.65394,4.58015,2019-10-13
HHS Regions,Region 5,2019,42,2453,7,6,0.529963,0.285365,0.244598,2019-10-13
HHS Regions,Region 6,2019,42,3281,26,94,3.65742,0.792441,2.86498,2019-10-13
HHS Regions,Region 7,2019,42,1365,0,0,0,0,0,2019-10-13
HHS Regions,Region 8,2019,42,613,3,6,1.46819,0.489396,0.978793,2019-10-13
HHS Regions,Region 9,2019,42,685,11,10,3.06569,1.60584,1.45985,2019-10-13
HHS Regions,Region 10,2019,42,1166,15,5,1.71527,1.28645,0.428816,2019-10-13
