region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 1,2019,40,1060,3,1,0.377358,0.283019,0.0943396,2019-09-29
HHS Regions,Region 2,2019,40,1723,7,0,0.406268,0.406268,0,2019-09-29
HHS Regions,Region 3,2019,40,1119,5,4,0.80429,0.446828,0.357462,2019-09-29
HHS Regions,Region 4,2019,40,3153,30,37,2.12496,0.951475,1.17349,2019-09-29
HHS Regions,Region 5,2019,40,3709,11,6,0.458345,0.296576,0.161769,2019-09-29
HHS Regions,Region 6,2019,40,2654,23,46,2.59985,0.866616,1.73323,2019-09-29
HHS Regions,Region 7,2019,40,1071,2,1,0.28011200000000003,0.186741,0.0933707,2019-09-29
HHS Regions,Region 8,2019,40,1098,12,3,1.36612,1.0929,0.273224,2019-09-29
HHS Regions,Region 9,2019,40,2373,21,20,1.72777,0.884956,0.842815,2019-09-29
HHS Regions,Region 10,2019,40,1461,17,3,1.36893,1.16359,0.205339,2019-09-29
HHS Regions,Region 1,2019,41,1172,6,2,0.682594,0.511945,0.170648,2019-10-06
HHS Regions,Region 2,2019,41,1919,7,5,0.625326,0.364773,0.260552,2019-10-06
HHS Regions,Region 3,2019,41,1171,1,5,0.512383,0.0853971,0.426985,2019-10-06
HHS Regions,Region 4,2019,41,3272,36,59,2.90342,1.10024,1.80318,2019-10-06
HHS Regions,Region 5,2019,41,3955,12,5,0.429836,0.303413,0.126422,2019-10-06
HHS Regions,Region 6,2019,41,3229,16,72,2.7253,0.495509,2.22979,2019-10-06
HHS Regions,Region 7,2019,41,1243,7,0,0.563154,0.563154,0,2019-10-06
HHS Regions,Region 8,2019,41,1151,10,5,1.30321,0.86881,0.434405,2019-10-06
HHS Regions,Region 9,2019,41,2509,33,19,2.07254,1.31527,0.757274,2019-10-06
HHS Regions,Region 10,2019,41,1831,10,8,0.983069,0.54615,0.43692,2019-10-06
HHS Regions,Region 1,2019,42,1146,4,0,0.34904,0.34904,0,2019-10-13
HHS Regions,Region 2,2019,42,2056,7,4,0.535019,0.340467,0.194553,2019-10-13
HHS Regions,Region 3,2019,42,1178,3,1,0.339559,0.254669,0.0848896,2019-10-13
HHS Regions,Region 4,2019,42,3105,35,22,1.83575,1.12721,0.708535,2019-10-13
HHS Regions,Region 5,2019,42,4221,13,9,0.521204,0.307984,0.21322,2019-10-13
HHS Regions,Region 6,2019,42,3281,26,94,3.65742,0.792441,2.86498,2019-10-13
HHS Regions,Region 7,2019,42,1365,0,0,0,0,0,2019-10-13
HHS Regions,Region 8,2019,42,866,5,12,1.96305,0.577367,1.38568,2019-10-13
HHS Regions,Region 9,2019,42,2499,38,24,2.48099,1.52061,0.960384,2019-10-13
HHS Regions,Region 10,2019,42,1417,17,8,1.76429,1.19972,0.564573,2019-10-13
HHS Regions,Region 1,2019,43,1283,8,2,0.779423,0.623539,0.155885,2019-10-20
HHS Regions,Region 2,2019,43,2094,18,7,1.19389,0.859599,0.334288,2019-10-20
HHS Regions,Region 3,2019,43,990,3,4,0.707071,0.30303,0.40404,2019-10-20
HHS Regions,Region 4,2019,43,3337,41,60,3.02667,1.22865,1.79802,2019-10-20
HHS Regions,Region 5,2019,43,4053,14,19,0.814212,0.345423,0.468789,2019-10-20
HHS Regions,Region 6,2019,43,3401,32,168,5.88062,0.9409,4.93972,2019-10-20
HHS Regions,Region 7,2019,43,1454,3,0,0.206327,0.206327,0,2019-10-20
HHS Regions,Region 8,2019,43,892,7,14,2.35426,0.784753,1.56951,2019-10-20
HHS Regions,Region 9,2019,43,2579,36,42,3.02443,1.39589,1.62854,2019-10-20
HHS Regions,Region 10,2019,43,1308,16,10,1.98777,1.22324,0.764526,2019-10-20
HHS Regions,Region 1,2019,44,1121,3,2,0.44603,0.267618,0.178412,2019-10-27
HHS Regions,Region 2,2019,44,2156,24,8,1.48423,1.11317,0.371058,2019-10-27
HHS Regions,Region 3,2019,44,931,2,3,0.537057,0.214823,0.322234,2019-10-27
HHS Regions,Region 4,2019,44,2588,34,55,3.43895,1.31376,2.12519,2019-10-27
HHS Regions,Region 5,2019,44,3691,13,12,0.677323,0.352208,0.325115,2019-10-27
HHS Regions,Region 6,2019,44,3555,40,316,10.0141,1.12518,8.88889,2019-10-27
HHS Regions,Region 7,2019,44,1352,3,2,0.369822,0.221893,0.147929,2019-10-27
HHS Regions,Region 8,2019,44,825,7,18,3.0303,0.848485,2.18182,2019-10-27
HHS Regions,Region 9,2019,44,939,10,11,2.23642,1.06496,1.17146,2019-10-27
HHS Regions,Region 10,2019,44,968,7,12,1.96281,0.72314,1.23967,2019-10-27
