region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
HHS Regions,Region 1,2019,40,22,0,6,0,0,0,0,0,2019-09-29
HHS Regions,Region 2,2019,40,34,0,3,0,1,1,0,0,2019-09-29
HHS Regions,Region 3,2019,40,171,0,2,0,1,3,0,0,2019-09-29
HHS Regions,Region 4,2019,40,130,12,2,1,0,21,1,0,2019-09-29
HHS Regions,Region 5,2019,40,154,0,6,0,0,3,0,0,2019-09-29
HHS Regions,Region 6,2019,40,126,2,2,0,3,11,0,0,2019-09-29
HHS Regions,Region 7,2019,40,55,3,2,0,0,0,0,0,2019-09-29
HHS Regions,Region 8,2019,40,42,0,7,0,0,0,0,0,2019-09-29
HHS Regions,Region 9,2019,40,154,7,12,20,2,16,0,0,2019-09-29
HHS Regions,Region 10,2019,40,77,0,9,0,0,0,0,0,2019-09-29
HHS Regions,Region 1,2019,41,16,1,0,0,0,0,0,0,2019-10-06
HHS Regions,Region 2,2019,41,42,0,8,0,0,0,0,0,2019-10-06
HHS Regions,Region 3,2019,41,161,2,5,0,0,2,0,0,2019-10-06
HHS Regions,Region 4,2019,41,143,11,10,1,0,26,2,0,2019-10-06
HHS Regions,Region 5,2019,41,192,0,6,2,0,2,0,0,2019-10-06
HHS Regions,Region 6,2019,41,116,2,0,0,3,18,0,0,2019-10-06
HHS Regions,Region 7,2019,41,60,3,2,0,0,0,0,0,2019-10-06
HHS Regions,Region 8,2019,41,41,3,1,0,0,0,0,0,2019-10-06
HHS Regions,Region 9,2019,41,180,9,17,20,3,19,0,0,2019-10-06
HHS Regions,Region 10,2019,41,97,1,10,0,3,0,0,0,2019-10-06
HHS Regions,Region 1,2019,42,24,1,2,0,0,0,0,0,2019-10-13
HHS Regions,Region 2,2019,42,32,0,10,0,0,0,0,0,2019-10-13
HHS Regions,Region 3,2019,42,222,3,5,0,1,3,0,0,2019-10-13
HHS Regions,Region 4,2019,42,180,5,10,2,3,19,2,0,2019-10-13
HHS Regions,Region 5,2019,42,192,0,6,0,6,6,0,0,2019-10-13
HHS Regions,Region 6,2019,42,109,2,1,0,1,16,0,0,2019-10-13
HHS Regions,Region 7,2019,42,52,2,2,0,0,2,0,0,2019-10-13
HHS Regions,Region 8,2019,42,55,3,9,1,0,2,0,0,2019-10-13
HHS Regions,Region 9,2019,42,134,13,18,0,1,19,1,0,2019-10-13
HHS Regions,Region 10,2019,42,101,2,12,1,2,0,0,0,2019-10-13
HHS Regions,Region 1,2019,43,18,0,1,0,0,1,0,0,2019-10-20
HHS Regions,Region 2,2019,43,38,1,4,0,2,0,0,0,2019-10-20
HHS Regions,Region 3,2019,43,250,2,3,1,3,3,0,0,2019-10-20
HHS Regions,Region 4,2019,43,169,6,5,0,11,33,0,0,2019-10-20
HHS Regions,Region 5,2019,43,202,6,4,1,6,2,0,0,2019-10-20
HHS Regions,Region 6,2019,43,108,1,6,0,3,9,0,0,2019-10-20
HHS Regions,Region 7,2019,43,67,4,4,0,0,2,0,0,2019-10-20
HHS Regions,Region 8,2019,43,66,4,11,0,0,3,0,0,2019-10-20
HHS Regions,Region 9,2019,43,125,15,25,0,8,6,1,0,2019-10-20
HHS Regions,Region 10,2019,43,99,5,8,0,0,1,0,0,2019-10-20
HHS Regions,Region 1,2019,44,17,0,4,0,0,0,0,0,2019-10-27
HHS Regions,Region 2,2019,44,23,0,1,0,1,0,0,0,2019-10-27
HHS Regions,Region 3,2019,44,201,2,4,0,2,6,0,0,2019-10-27
HHS Regions,Region 4,2019,44,89,1,2,0,2,9,2,0,2019-10-27
HHS Regions,Region 5,2019,44,151,2,4,0,0,9,2,0,2019-10-27
HHS Regions,Region 6,2019,44,64,1,0,0,4,1,0,0,2019-10-27
HHS Regions,Region 7,2019,44,59,4,0,1,0,0,0,0,2019-10-27
HHS Regions,Region 8,2019,44,39,1,4,0,1,1,0,0,2019-10-27
HHS Regions,Region 9,2019,44,83,10,7,0,11,10,0,0,2019-10-27
HHS Regions,Region 10,2019,44,40,1,5,0,0,2,0,0,2019-10-27
