region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2019,40,967,25,57,21,7,56,1,0,2019-09-29
National,National,2019,41,1079,32,64,23,7,70,2,0,2019-10-06
National,National,2019,42,1164,35,82,2,13,76,3,0,2019-10-13
National,National,2019,43,1357,53,78,3,20,95,5,0,2019-10-20
National,National,2019,44,1428,53,59,2,39,119,5,0,2019-10-27
National,National,2019,45,1918,117,72,11,77,229,10,0,2019-11-03
National,National,2019,46,1857,143,55,7,93,322,10,0,2019-11-10
National,National,2019,47,2410,241,76,16,199,383,9,0,2019-11-17
National,National,2019,48,2075,343,78,17,155,449,10,0,2019-11-24
National,National,2019,49,2854,470,81,13,231,566,12,0,2019-12-01
National,National,2019,50,3005,525,74,18,351,665,14,0,2019-12-08
National,National,2019,51,2618,604,36,30,167,764,12,0,2019-12-15
National,National,2019,52,1618,387,37,50,148,548,2,0,2019-12-22
