region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 1,2019,40,911,3,1,0.439078,0.329308,0.109769,2019-09-29
HHS Regions,Region 2,2019,40,1659,6,0,0.361664,0.361664,0,2019-09-29
HHS Regions,Region 3,2019,40,878,1,3,0.455581,0.113895,0.341686,2019-09-29
HHS Regions,Region 4,2019,40,4108,76,291,8.93379,1.85005,7.08374,2019-09-29
HHS Regions,Region 5,2019,40,3259,7,4,0.337527,0.21479,0.122737,2019-09-29
HHS Regions,Region 6,2019,40,2052,17,15,1.55945,0.82846,0.730994,2019-09-29
HHS Regions,Region 7,2019,40,1036,2,1,0.289575,0.19305,0.0965251,2019-09-29
HHS Regions,Region 8,2019,40,1097,12,3,1.36737,1.09389,0.273473,2019-09-29
HHS Regions,Region 9,2019,40,1934,21,20,2.11996,1.08583,1.03413,2019-09-29
HHS Regions,Region 10,2019,40,1384,16,3,1.37283,1.15607,0.216763,2019-09-29
HHS Regions,Region 1,2019,41,1006,4,1,0.497018,0.397614,0.0994036,2019-10-06
HHS Regions,Region 2,2019,41,1813,6,5,0.606729,0.330943,0.275786,2019-10-06
HHS Regions,Region 3,2019,41,726,0,2,0.275482,0,0.275482,2019-10-06
HHS Regions,Region 4,2019,41,3549,86,358,12.5106,2.42322,10.0873,2019-10-06
HHS Regions,Region 5,2019,41,2572,3,0,0.116641,0.116641,0,2019-10-06
HHS Regions,Region 6,2019,41,2430,10,29,1.60494,0.41152300000000003,1.19342,2019-10-06
HHS Regions,Region 7,2019,41,1113,7,0,0.628931,0.628931,0,2019-10-06
HHS Regions,Region 8,2019,41,642,2,2,0.623053,0.311526,0.311526,2019-10-06
HHS Regions,Region 9,2019,41,1523,26,18,2.88903,1.70716,1.18188,2019-10-06
HHS Regions,Region 10,2019,41,1298,6,8,1.07858,0.46225,0.616333,2019-10-06
