region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2019,40,979,25,56,21,7,56,1,0,2019-09-29
National,National,2019,41,1104,32,63,23,7,70,2,0,2019-10-06
National,National,2019,42,1174,35,80,2,13,76,3,0,2019-10-13
National,National,2019,43,1346,53,77,4,20,95,5,0,2019-10-20
National,National,2019,44,1402,52,59,2,39,118,5,0,2019-10-27
National,National,2019,45,1890,113,71,12,77,228,10,0,2019-11-03
National,National,2019,46,1827,143,55,7,97,314,10,0,2019-11-10
National,National,2019,47,2371,237,76,17,198,377,9,0,2019-11-17
National,National,2019,48,1992,325,76,17,147,435,9,0,2019-11-24
National,National,2019,49,2367,371,71,30,185,483,11,0,2019-12-01
National,National,2019,50,1413,231,34,17,134,310,7,0,2019-12-08
