region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 1,2019,40,1060,3,1,0.377358,0.283019,0.0943396,2019-09-29
HHS Regions,Region 2,2019,40,1723,7,0,0.406268,0.406268,0,2019-09-29
HHS Regions,Region 3,2019,40,1119,5,4,0.80429,0.446828,0.357462,2019-09-29
HHS Regions,Region 4,2019,40,4552,77,291,8.08436,1.69156,6.39279,2019-09-29
HHS Regions,Region 5,2019,40,3709,11,6,0.458345,0.296576,0.161769,2019-09-29
HHS Regions,Region 6,2019,40,2654,23,46,2.59985,0.866616,1.73323,2019-09-29
HHS Regions,Region 7,2019,40,1036,2,1,0.289575,0.19305,0.0965251,2019-09-29
HHS Regions,Region 8,2019,40,1098,12,3,1.36612,1.0929,0.273224,2019-09-29
HHS Regions,Region 9,2019,40,2373,21,20,1.72777,0.884956,0.842815,2019-09-29
HHS Regions,Region 10,2019,40,1461,17,3,1.36893,1.16359,0.205339,2019-09-29
HHS Regions,Region 1,2019,41,1172,6,2,0.682594,0.511945,0.170648,2019-10-06
HHS Regions,Region 2,2019,41,1919,7,5,0.625326,0.364773,0.260552,2019-10-06
HHS Regions,Region 3,2019,41,1171,1,5,0.512383,0.0853971,0.426985,2019-10-06
HHS Regions,Region 4,2019,41,4679,100,364,9.91665,2.13721,7.77944,2019-10-06
HHS Regions,Region 5,2019,41,3881,12,5,0.438031,0.309199,0.128833,2019-10-06
HHS Regions,Region 6,2019,41,3229,16,72,2.7253,0.495509,2.22979,2019-10-06
HHS Regions,Region 7,2019,41,1243,7,0,0.563154,0.563154,0,2019-10-06
HHS Regions,Region 8,2019,41,1151,10,5,1.30321,0.86881,0.434405,2019-10-06
HHS Regions,Region 9,2019,41,2509,33,19,2.07254,1.31527,0.757274,2019-10-06
HHS Regions,Region 10,2019,41,1831,10,8,0.983069,0.54615,0.43692,2019-10-06
HHS Regions,Region 1,2019,42,1146,4,0,0.34904,0.34904,0,2019-10-13
HHS Regions,Region 2,2019,42,2056,7,4,0.535019,0.340467,0.194553,2019-10-13
HHS Regions,Region 3,2019,42,1178,3,1,0.339559,0.254669,0.0848896,2019-10-13
HHS Regions,Region 4,2019,42,3637,53,147,5.49904,1.45724,4.04179,2019-10-13
HHS Regions,Region 5,2019,42,3803,11,8,0.499606,0.289245,0.21036,2019-10-13
HHS Regions,Region 6,2019,42,3281,26,94,3.65742,0.792441,2.86498,2019-10-13
HHS Regions,Region 7,2019,42,1365,0,0,0,0,0,2019-10-13
HHS Regions,Region 8,2019,42,866,5,12,1.96305,0.577367,1.38568,2019-10-13
HHS Regions,Region 9,2019,42,2415,38,24,2.56729,1.5735,0.993789,2019-10-13
HHS Regions,Region 10,2019,42,1407,17,8,1.77683,1.20824,0.568586,2019-10-13
HHS Regions,Region 1,2019,43,1092,8,1,0.824176,0.732601,0.0915751,2019-10-20
HHS Regions,Region 2,2019,43,2075,18,7,1.20482,0.86747,0.337349,2019-10-20
HHS Regions,Region 3,2019,43,990,3,4,0.707071,0.30303,0.40404,2019-10-20
HHS Regions,Region 4,2019,43,2733,38,59,3.54921,1.39041,2.1588,2019-10-20
HHS Regions,Region 5,2019,43,3330,9,16,0.750751,0.27027,0.48048,2019-10-20
HHS Regions,Region 6,2019,43,3346,31,167,5.91751,0.926479,4.99103,2019-10-20
HHS Regions,Region 7,2019,43,900,1,0,0.111111,0.111111,0,2019-10-20
HHS Regions,Region 8,2019,43,892,6,14,2.24215,0.672646,1.56951,2019-10-20
HHS Regions,Region 9,2019,43,1162,13,10,1.97935,1.11876,0.860585,2019-10-20
HHS Regions,Region 10,2019,43,1200,14,9,1.91667,1.16667,0.75,2019-10-20
